fqdn,ip_addr,port,cloud_type,method,url,vendor_name,prod_name,prod_version,prod_trigger,prod_type,prod_vuln,origin_login,origin_login_trigger,wrong_comment,error_msg,server_header,log,date
google-gruyere.appspot.com,172.217.25.212,443,*,Direct,https://google-gruyere.appspot.com:443/404763958046908373156707185267202684958/?login,cmsimple,cmsimple_classic,*,/?login,CMS,"CVE-2014-2219
",*,*,-,-,Server: Google Frontend,C:\Users\itaka\PycharmProjects\GyoiThonLight\modules\../logs\https_google-gruyere.appspot.com_443_20181023132023588.log,2018/10/23 13:20:23
google-gruyere.appspot.com,172.217.25.212,443,*,Direct,https://google-gruyere.appspot.com:443/404763958046908373156707185267202684958/?login,-,-,-,-,-,-,*,*,-,-,Server: Google Frontend,C:\Users\itaka\PycharmProjects\GyoiThonLight\modules\../logs\https_google-gruyere.appspot.com_443_20181023132025070.log,2018/10/23 13:20:25
google-gruyere.appspot.com,172.217.25.212,443,*,Direct,https://google-gruyere.appspot.com:443/404763958046908373156707185267202684958/?login,cmsmadesimple,cms_made_simple,*,/?login,CMS,"CVE-2017-1000453
CVE-2017-16783
CVE-2017-6070
",*,*,-,-,Server: Google Frontend,C:\Users\itaka\PycharmProjects\GyoiThonLight\modules\../logs\https_google-gruyere.appspot.com_443_20181023132025070.log,2018/10/23 13:20:25
google-gruyere.appspot.com,172.217.25.212,443,*,Direct,https://google-gruyere.appspot.com:443/404763958046908373156707185267202684958/manager/,-,-,-,-,-,-,*,*,-,-,Server: Google Frontend,C:\Users\itaka\PycharmProjects\GyoiThonLight\modules\../logs\https_google-gruyere.appspot.com_443_20181023132026646.log,2018/10/23 13:20:26
google-gruyere.appspot.com,172.217.25.212,443,*,Direct,https://google-gruyere.appspot.com:443/404763958046908373156707185267202684958/manager/,MODX,modx_revolution,*,/manager/,CMS,Cannot search.,*,*,-,-,Server: Google Frontend,C:\Users\itaka\PycharmProjects\GyoiThonLight\modules\../logs\https_google-gruyere.appspot.com_443_20181023132026646.log,2018/10/23 13:20:26
google-gruyere.appspot.com,172.217.25.212,443,*,Direct,https://google-gruyere.appspot.com:443/404763958046908373156707185267202684958/nucleus/,-,-,-,-,-,-,*,*,-,-,Server: Google Frontend,C:\Users\itaka\PycharmProjects\GyoiThonLight\modules\../logs\https_google-gruyere.appspot.com_443_20181023132028075.log,2018/10/23 13:20:28
google-gruyere.appspot.com,172.217.25.212,443,*,Direct,https://google-gruyere.appspot.com:443/404763958046908373156707185267202684958/nucleus/,nucleuscms,nucleus,*,/nucleus/,CMS,"CVE-2010-5041
CVE-2010-5040
",*,*,-,-,Server: Google Frontend,C:\Users\itaka\PycharmProjects\GyoiThonLight\modules\../logs\https_google-gruyere.appspot.com_443_20181023132028075.log,2018/10/23 13:20:28
google-gruyere.appspot.com,172.217.25.212,443,*,Direct,https://google-gruyere.appspot.com:443/404763958046908373156707185267202684958/nucleus/,-,-,-,-,-,-,*,*,-,-,Server: Google Frontend,C:\Users\itaka\PycharmProjects\GyoiThonLight\modules\../logs\https_google-gruyere.appspot.com_443_20181023132029589.log,2018/10/23 13:20:29
google-gruyere.appspot.com,172.217.25.212,443,*,Direct,https://google-gruyere.appspot.com:443/404763958046908373156707185267202684958/nucleus/,nucleuscms,nucleus_cms,*,/nucleus/,CMS,"CVE-2011-3760
CVE-2015-5454
",*,*,-,-,Server: Google Frontend,C:\Users\itaka\PycharmProjects\GyoiThonLight\modules\../logs\https_google-gruyere.appspot.com_443_20181023132029589.log,2018/10/23 13:20:29
google-gruyere.appspot.com,172.217.25.212,443,*,Direct,https://google-gruyere.appspot.com:443/404763958046908373156707185267202684958/user.php,-,-,-,-,-,-,*,*,-,-,Server: Google Frontend,C:\Users\itaka\PycharmProjects\GyoiThonLight\modules\../logs\https_google-gruyere.appspot.com_443_20181023132031071.log,2018/10/23 13:20:31
